account_id,tweet_text,tweet_id,tweet_favorite_count,retweet_count,user_id,user_screen_name,user_location,tweet_created_at,tweet_language,tweet_location,tweet_source,original_tweet_id
bsy,RT @sureshpprabhu: Meeting with @BSYBJP https://t.co/7oVRGynE4l,803966725377183744,0,30,737889402,PratMangal,,Wed Nov 30 14:19:38 2016,en,\N,<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>,803942954519891968
bsy,RT @sureshpprabhu: Meeting with @BSYBJP https://t.co/7oVRGynE4l,803954229526163461,0,30,37402601,arunsharma6,New Delhi\, India,Wed Nov 30 13:29:59 2016,en,\N,<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>,803942954519891968
bsy,@sureshpprabhu @BSYBJP so his 20 crore loot converted to white ?,803951680228184064,0,0,2714464412,amitkumar1968,,Wed Nov 30 13:19:51 2016,en,\N,<a href="http://twitter.com" rel="nofollow">Twitter Web Client</a>,\N
bsy,RT @sureshpprabhu: Meeting with @BSYBJP https://t.co/7oVRGynE4l,803951434685353985,0,30,236751624,Navin_Rochlani,Ulhasnagar,Wed Nov 30 13:18:53 2016,en,\N,<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>,803942954519891968
bsy,RT @sureshpprabhu: Meeting with @BSYBJP https://t.co/7oVRGynE4l,803951321791479808,0,30,3066400088,vipin123panwar,BHARAT MATA KI JAI,Wed Nov 30 13:18:26 2016,en,\N,<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>,803942954519891968
bsy,@sureshpprabhu @BSYBJP sir.. we in karnataka dont have a railway line to nagpur from belguam.. nor a single line to ratnagiri,803950644147032064,0,0,1620882618,hinduwarrior15,HINDUSTAN,Wed Nov 30 13:15:44 2016,en,\N,<a href="https://mobile.twitter.com" rel="nofollow">Mobile Web (M5)</a>,\N
bsy,RT @sureshpprabhu: Meeting with @BSYBJP https://t.co/7oVRGynE4l,803950464668549120,0,30,1620882618,hinduwarrior15,HINDUSTAN,Wed Nov 30 13:15:02 2016,en,\N,<a href="https://mobile.twitter.com" rel="nofollow">Mobile Web (M5)</a>,803942954519891968
bsy,RT @sureshpprabhu: Meeting with @BSYBJP https://t.co/7oVRGynE4l,803950390995783680,0,30,711183156972380160,EklureBasawaraj,Bengaluru South\, India,Wed Nov 30 13:14:44 2016,en,\N,<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>,803942954519891968
bsy,RT @sureshpprabhu: Meeting with @BSYBJP https://t.co/7oVRGynE4l,803949092762046465,0,30,150955882,saurabhtrivedi1,Noida\, India,Wed Nov 30 13:09:35 2016,en,\N,<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>,803942954519891968
bsy,RT @sureshpprabhu: Meeting with @BSYBJP https://t.co/7oVRGynE4l,803949020221767680,0,30,462876049,amitnamdev5,Rajgarh\, India,Wed Nov 30 13:09:17 2016,en,\N,<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>,803942954519891968
bsy,RT @sureshpprabhu: Meeting with @BSYBJP https://t.co/7oVRGynE4l,803948242635362305,0,30,758564366031605760,mpacheriya1,भारत,Wed Nov 30 13:06:12 2016,en,\N,<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>,803942954519891968
bsy,RT @sureshpprabhu: Meeting with @BSYBJP https://t.co/7oVRGynE4l,803947082956623872,0,30,3871228456,rameshraop,Bahrain\, Padubidri\, Bengaluru,Wed Nov 30 13:01:35 2016,en,\N,<a href="http://twitter.com" rel="nofollow">Twitter Web Client</a>,803942954519891968
