account_id,user_id,extracted_time,followers_count,friends_count,no_of_favorites,no_of_tweets,klout_score
bsy,54936590,11-30-2016 05:22:33,65752,346,315,1447,65.25756
bsy,54936590,11-30-2016 14:20:45,65816,346,315,1447,65.086845
