account_id|tweet_text|tweet_id|tweet_favorite_count|retweet_count|user_id|user_screen_name|user_location|tweet_created_at|tweet_language|tweet_location|tweet_source|original_tweet_id
bsy|RT @BSYBJP: Akrosh Diwas is a big flop show. People have expressed outstanding support &amp; confidence to Sh. @narendramodi #Demonetizaton .My…|803474506719203328|0|169|4788277815|chowdry_noor|Brampton, Ontario|Tue Nov 29 05:43:44 2016|en|\N|<a href="http://twitter.com/#!/download/ipad" rel="nofollow">Twitter for iPad</a>|803204653122846721
bsy|RT @BSYBJP: Received Sh. @AmitShah ji at Bengaluru for the massive BJP OBC morcha Samavesha https://t.co/7DvrEDhsW7|803469781236088832|0|260|763598656201191425|RBVadher1|भारत|Tue Nov 29 05:24:58 2016|en|\N|<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>|802767706810236928
bsy|RT @BSYBJP: I thank all BJP Karyakartas who  worked day &amp; night to ensure the grand success of OBC Samavesha held yesterday addressed by Sh…|803466685541777408|0|147|328433089|agra_radhe|Agra|Tue Nov 29 05:12:40 2016|en|\N|<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>|803122419544141825
bsy|RT @BSYBJP: Akrosh Diwas is a big flop show. People have expressed outstanding support &amp; confidence to Sh. @narendramodi #Demonetizaton .My…|803464161418244096|0|169|775261241388523520|aju963kumar3|Puttur, India|Tue Nov 29 05:02:38 2016|en|\N|<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>|803204653122846721
bsy|@BSYBJP @ravindrannayak @narendramodi  me support bjp and modi ji|803461185001562112|0|0|795219706470928384|Pamaipraveen|Banglore , karnataka, india|Tue Nov 29 04:50:48 2016|en|\N|<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>|\N
bsy|One Man that every Southee BJP supporter wants to see as CM of karnataka @BSYBJP https://t.co/JXqEBB3WG3|803458984933892101|0|1|267749411|Mahadevanmenon|mumbai|Tue Nov 29 04:42:04 2016|en|\N|<a href="http://twitter.com" rel="nofollow">Twitter Web Client</a>|\N
bsy|@mvmeet @BSYBJP has always been a fav amongst Kannadigas. His image was tarnished by corruption scandals.|803457803037929472|0|0|2178041006|sanepolitics14|Pittsburgh, PA|Tue Nov 29 04:37:22 2016|en|\N|<a href="http://twitter.com" rel="nofollow">Twitter Web Client</a>|\N
bsy|RT @ShobhaBJP: Massive public response to BJP OBC Rally #EkthaSamavesha and leadership of PM @narendramodi,@amitshah &amp; @bsybjp was mirrored…|803457762508279808|0|18|775261241388523520|aju963kumar3|Puttur, India|Tue Nov 29 04:37:12 2016|en|\N|<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>|803111464416387072
bsy|News Coverage of Vijayotsv in various news papers. @JoshiPralhad @BSYBJP @JagadishShettar @BJP4Karnataka @BJP4India https://t.co/MIUCZnd9Go|803455922899132416|0|0|786446166015746048|RTapela||Tue Nov 29 04:29:54 2016|en|\N|<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>|\N
bsy|Nice to see the Escalaters on almost all platforms at KSR Banglore station. It's very useful for old aged persons… https://t.co/XYd5mbWU7o|803455862190772224|0|0|553384633|ramesh4070|Bengalure|Tue Nov 29 04:29:39 2016|en|\N|<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>|\N
bsy|RT @BSYBJP: Akrosh Diwas is a big flop show. People have expressed outstanding support &amp; confidence to Sh. @narendramodi #Demonetizaton .My…|803453829471617025|0|169|4663067717|Raisahab11|Bellandur, Bengaluru South|Tue Nov 29 04:21:35 2016|en|\N|<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>|803204653122846721
bsy|RT @BSYBJP: Received Sh. @AmitShah ji at Bengaluru for the massive BJP OBC morcha Samavesha https://t.co/7DvrEDhsW7|803453619404148736|0|260|3230625147|ParthPa07241800|Ahmedabad, Gujarat, India|Tue Nov 29 04:20:44 2016|en|\N|<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>|802767706810236928
bsy|RT @ShashiHegdeVK: ಮಹದಾಯಿ ಚರ್ಚೆಗೆ ಶಾಸಕರ ಚಕ್ಕರ್. #VkStory @Vijaykarnataka  @CMofKarnataka @BSYBJP @dineshgrao @hdk_jds https://t.co/si49gOoQ…|803449468158812160|0|1|3021521540|HaraAndolan||Tue Nov 29 04:04:15 2016|kn|\N|<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>|802020055894532096
bsy|RT @BSYBJP: Akrosh Diwas is a big flop show. People have expressed outstanding support &amp; confidence to Sh. @narendramodi #Demonetizaton .My…|803447030618071040|0|169|2191753646|santosh21832278|Bengaluru, India|Tue Nov 29 03:54:34 2016|en|\N|<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>|803204653122846721
bsy|@BSYBJP we want ur next cm of Karnataka appaji|803445366649548800|0|0|2908021351|3bda71341e6b434|Haveli, India|Tue Nov 29 03:47:57 2016|en|\N|<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>|\N
bsy|RT @BSYBJP: Akrosh Diwas is a big flop show. People have expressed outstanding support &amp; confidence to Sh. @narendramodi #Demonetizaton .My…|803445249834004485|0|169|254128832|Sandy_Ag|Guam|Tue Nov 29 03:47:29 2016|en|\N|<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>|803204653122846721
bsy|RT @BSYBJP: I thank all BJP Karyakartas who  worked day &amp; night to ensure the grand success of OBC Samavesha held yesterday addressed by Sh…|803445115016486913|0|147|2908021351|3bda71341e6b434|Haveli, India|Tue Nov 29 03:46:57 2016|en|\N|<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>|803122419544141825
bsy|RT @BSYBJP: Akrosh Diwas is a big flop show. People have expressed outstanding support &amp; confidence to Sh. @narendramodi #Demonetizaton .My…|803439405054750721|0|169|722694866011099136|SUBHRA_THEGEEK|कोलकाता, भारत|Tue Nov 29 03:24:16 2016|en|\N|<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>|803204653122846721
bsy|RT @BSYBJP: Akrosh Diwas is a big flop show. People have expressed outstanding support &amp; confidence to Sh. @narendramodi #Demonetizaton .My…|803436564856467456|0|169|347090496|vishalssg|Bengaluru, India|Tue Nov 29 03:12:58 2016|en|\N|<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>|803204653122846721
bsy|@BSYBJP @narendramodi मेडिकल रिपोर्ट में लड़की के शरीर पर कोई खरोच के निशान तक नही जो सिद्ध करता है ।… https://t.co/Arczwz0iBJ|803436088740040705|19|20|2268247584|OmmBishal|Hyderabad|Tue Nov 29 03:11:05 2016|hi|\N|<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>|\N
bsy|RT @BSYBJP: Akrosh Diwas is a big flop show. People have expressed outstanding support &amp; confidence to Sh. @narendramodi #Demonetizaton .My…|803433978304688128|0|169|2499384110|dddfce51e2b4490||Tue Nov 29 03:02:42 2016|en|\N|<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>|803204653122846721
bsy|@BSYBJP @CTRavi_BJP @narendramodi pl don't vote Karnataka BJP leader's for power only vote central BJP.Local leader's are not good enough|803432565445132288|1|0|2909055530|VMuthanege|Hassan.Karnataka|Tue Nov 29 02:57:05 2016|en|\N|<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>|\N
bsy|RT @BSYBJP: Akrosh Diwas is a big flop show. People have expressed outstanding support &amp; confidence to Sh. @narendramodi #Demonetizaton .My…|803431769168936960|0|169|13060492|sbharti|जमालपुर (मुँगेर), बिहार, भारत|Tue Nov 29 02:53:55 2016|en|\N|<a href="https://mobile.twitter.com" rel="nofollow">Mobile Web (M5)</a>|803204653122846721
bsy|RT @BSYBJP: Akrosh Diwas is a big flop show. People have expressed outstanding support &amp; confidence to Sh. @narendramodi #Demonetizaton .My…|803429410992844800|0|169|1017581252|jeevanakshayts|Bangalore|Tue Nov 29 02:44:33 2016|en|\N|<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>|803204653122846721
